Model,Silhouette,ARI (Gerçek Sınıfa Göre)
KMeans,0.12455639992781743,0.002601729040563184
GMM,0.12654577590020577,-0.0026837622663514705
DBSCAN,0.13872837348848913,-0.003267049081757918
